,Unnamed: 0,title,short_description,institution,subject,price,length,effort,level,prerequisites,course_link
0,0,Introduction to Web Accessibility,Learn the best practices and guidelines needed to create accessible web applications and empower all of your users.,Microsoft,Computer Science,FREE,5 modules,3-4 hours per module,Intermediate,,https://www.edx.org/course/introduction-web-accessibility-microsoft-dev240x
1,1,Personnel Management for Public Libraries,Learn the foundational principles of personnel management and leadership.,MichiganX,Art & Culture,FREE,4 weeks,2-4 hours per week,Introductory,Access to a public library community.,https://www.edx.org/course/personnel-management-public-libraries-michiganx-publib603x
2,2,Introduction to Data Analysis using Excel,"Learn the basics of Excel, one of the most popular data analysis tools, to help visualize and gain insights from your data.",Microsoft,Data Analysis & Statistics,FREE,4 weeks,2-4 hours per week,Introductory,Missing,https://www.edx.org/course/introduction-data-analysis-using-excel-microsoft-dat205x-1
3,3,Build Web APIs using ASP.NET,"Learn the skills needed to create RESTful services using Web API, REST, ASP.NET Core, and CORS.",Microsoft,Computer Science,FREE,4 weeks,3-4 hours per week,Intermediate,Knowledge of C#Knowledge of web technologiesDatabase knowlede,https://www.edx.org/course/build-web-apis-using-asp-net-microsoft-dev247x
4,4,Islamic Finance and Banking: Modes of Finance,"Learn about the different modes of Islamic Finance and the applications, management and risk involved with each.",IRTIx,Economics & Finance,FREE,4 weeks,3-4 hours per week,Introductory,None,https://www.edx.org/course/islamic-finance-banking-modes-finance-irtix-ifb102x-0
5,5,Knowledge Management and Big Data in Business,"Learn about the integrative power of knowledge management, Big Data and Cloud Computing, and how they impact the new business era.",HKPolyUx,Business & Management,FREE,6 weeks,6-8 hours per week,Introductory,None,https://www.edx.org/course/knowledge-management-big-data-business-hkpolyux-ise101x-3
6,6,Introduction to Java Programming ÛÒ Part 1,Learn the fundamental elements of Java programming and data abstraction.,HKUSTx,Computer Science,FREE,5 weeks,3-5 hours per week,Introductory,None,https://www.edx.org/course/introduction-java-programming-part-1-hkustx-comp102-1x-8
7,7,Introduction to Java Programming ÛÒ Part 2,The first MOOC to teach the fundamental elements of Java programming and data abstraction.,HKUSTx,Computer Science,FREE,5 weeks,3-5 hours per week,Introductory,Introduction to Java Programming Part 1 - COMP102.1x is recommended. ,https://www.edx.org/course/introduction-java-programming-part-2-hkustx-comp102-2x-4
8,8,Introduction to Mobile Application Development using Android,Learn the basics of mobile application development using Android as the platform.,HKUSTx,Computer Science,FREE,6 weeks,3-5 hours per week,Introductory,Basics of Java programmingORCOMP102xORCOMP102.1x + COMP102.2x,https://www.edx.org/course/introduction-mobile-application-hkustx-comp107x-3
9,9,Portfolio Management & Governance,"Learn how a Project Management Office (PMO) works, discover techniques to monitor and control projects and find out how to keep your project portfolio healthy.",UWashingtonX,Business & Management,FREE,4 weeks,2-5 hours per week,Introductory,None.,https://www.edx.org/course/portfolio-management-governance-uwashingtonx-pm-it-002x
10,10,Working in Teams: A Practical Guide,"Learn how to build effective teams, be a great team player and manage team conflict.",UQx,Humanities,FREE,4 weeks,6-8 hours per week,Introductory,None,https://www.edx.org/course/working-teams-practical-guide-uqx-teams101x-1
11,11,Video Game Design: Teamwork & Collaboration,"Learn how a team comes together to create, market and deliver a video game.",RITx,Computer Science,FREE,5 weeks,3 hours per week,Introductory,None,https://www.edx.org/course/video-game-design-teamwork-collaboration-ritx-game104x
12,12,The Psychology of Criminal Justice,Learn how behavioural science can improve our criminal justice system.,UQx,Social Sciences,FREE,8 weeks,1-2 hours per week,Introductory,None,https://www.edx.org/course/psychology-criminal-justice-uqx-crime101x-3
13,13,IELTS Academic Test Preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",UQx,Communication,FREE,8 weeks,5-10 hours per week,Introductory,None. This course is suitable for anyone preparing to take the Academic IELTS test.,https://www.edx.org/course/ielts-academic-test-preparation-uqx-ieltsx-1
